BA,Model,Year,Projection_Year,RMS_ABS,RMS_NORM,MAPE,R2,Max_Error_MWh,Max_Error_%
AZPS,M1,2018,1,224.692,0.065,0.049,0.951,1349.7,31.2
AZPS,M1,2019,2,279.082,0.082,0.061,0.923,5934.0,inf
AZPS,M1,2020,3,282.327,0.08,0.064,0.934,2753.4,62.0
AZPS,M1,2021,4,240.098,0.068,0.051,0.946,4688.8,54.4
AZPS,M1,2022,5,261.642,0.072,0.058,0.935,4272.1,50.1
AZPS,M1,2023,6,425.715,0.111,0.094,0.839,6535.9,66.3
AZPS,M2,2019,1,240.328,0.071,0.05,0.94,6150.4,inf
AZPS,M2,2020,2,249.231,0.071,0.056,0.945,2756.6,57.5
AZPS,M2,2021,3,229.509,0.065,0.047,0.948,4719.6,54.8
AZPS,M2,2022,4,286.648,0.078,0.063,0.917,4318.1,50.6
AZPS,M2,2023,5,477.382,0.124,0.107,0.786,6581.0,66.8
AZPS,M3,2020,1,236.62,0.067,0.053,0.95,2778.5,53.0
AZPS,M3,2021,2,225.703,0.064,0.045,0.95,4622.6,53.6
AZPS,M3,2022,3,277.368,0.076,0.06,0.923,4276.1,50.1
AZPS,M3,2023,4,482.331,0.126,0.107,0.776,6532.9,66.3
AZPS,M4,2021,1,218.232,0.062,0.043,0.959,4495.8,52.2
AZPS,M4,2022,2,244.597,0.067,0.053,0.948,4291.7,50.3
AZPS,M4,2023,3,416.228,0.108,0.093,0.85,6650.1,67.5
AZPS,M5,2022,1,244.284,0.067,0.053,0.947,4289.1,50.3
AZPS,M5,2023,2,428.568,0.112,0.097,0.843,6641.9,67.4
AZPS,M6,2023,1,416.908,0.109,0.094,0.859,6800.2,69.0
BPAT,M1,2018,1,276.252,0.044,0.034,0.896,1247.6,18.7
BPAT,M1,2019,2,291.907,0.046,0.035,0.898,2018.3,41.3
BPAT,M1,2020,3,301.161,0.048,0.037,0.869,5006.0,42.6
BPAT,M1,2021,4,274.293,0.043,0.033,0.909,1662.2,18.8
BPAT,M1,2022,5,414.27,0.062,0.052,0.811,1669.7,20.7
BPAT,M1,2023,6,403.24,0.061,0.05,0.783,1604.5,18.5
BPAT,M2,2019,1,299.817,0.047,0.036,0.894,2101.6,43.0
BPAT,M2,2020,2,305.852,0.049,0.037,0.87,5081.4,43.3
BPAT,M2,2021,3,275.484,0.043,0.034,0.912,1415.7,21.0
BPAT,M2,2022,4,381.78,0.057,0.047,0.841,1602.7,19.2
BPAT,M2,2023,5,380.949,0.058,0.046,0.814,1556.5,18.7
BPAT,M3,2020,1,301.784,0.048,0.036,0.877,4836.0,41.2
BPAT,M3,2021,2,270.288,0.042,0.032,0.917,1570.7,21.9
BPAT,M3,2022,3,350.792,0.053,0.042,0.867,1515.0,17.1
BPAT,M3,2023,4,314.953,0.048,0.037,0.877,1378.6,17.2
BPAT,M4,2021,1,266.642,0.042,0.032,0.919,1648.3,21.2
BPAT,M4,2022,2,372.893,0.056,0.045,0.851,1660.9,23.0
BPAT,M4,2023,3,350.194,0.053,0.042,0.847,1500.4,18.2
BPAT,M5,2022,1,394.632,0.059,0.049,0.84,1500.2,22.3
BPAT,M5,2023,2,384.344,0.058,0.047,0.81,1760.5,21.1
BPAT,M6,2023,1,326.292,0.05,0.039,0.854,1474.1,17.4
CISO,M1,2018,1,1414.275,0.055,0.041,0.919,6419.8,32.4
CISO,M1,2019,2,2577.379,0.105,0.077,0.705,28376.1,175475.7
CISO,M1,2020,3,2615.927,0.105,0.078,0.757,13766.5,99.7
CISO,M1,2021,4,2308.911,0.092,0.065,0.804,9250.3,44.3
CISO,M1,2022,5,2432.847,0.095,0.066,0.801,9928.8,50.6
CISO,M1,2023,6,2772.837,0.111,0.072,0.673,11590.7,66.7
CISO,M2,2019,1,2265.413,0.093,0.067,0.735,27307.1,167042.9
CISO,M2,2020,2,2155.864,0.087,0.065,0.808,12885.8,93.3
CISO,M2,2021,3,1891.263,0.076,0.056,0.851,7595.0,34.9
CISO,M2,2022,4,2083.576,0.082,0.06,0.836,8056.4,41.1
CISO,M2,2023,5,2417.503,0.097,0.068,0.71,9657.5,54.5
CISO,M3,2020,1,1990.27,0.08,0.058,0.86,12701.9,92.0
CISO,M3,2021,2,1773.35,0.071,0.051,0.88,7754.3,38.7
CISO,M3,2022,3,1898.973,0.074,0.054,0.876,8633.0,40.5
CISO,M3,2023,4,2291.752,0.092,0.066,0.769,10662.5,45.4
CISO,M4,2021,1,1424.859,0.057,0.045,0.918,6217.5,31.1
CISO,M4,2022,2,1689.072,0.066,0.051,0.896,7366.0,29.7
CISO,M4,2023,3,2143.819,0.086,0.066,0.787,9475.5,43.4
CISO,M5,2022,1,1508.304,0.059,0.046,0.908,6612.6,29.8
CISO,M5,2023,2,1884.83,0.076,0.061,0.818,8104.5,39.2
CISO,M6,2023,1,1633.927,0.066,0.05,0.854,8155.4,40.7
ERCO,M1,2018,1,2554.024,0.059,0.051,0.931,9680.9,21.3
ERCO,M1,2019,2,3314.043,0.076,0.07,0.878,11612.9,24.7
ERCO,M1,2020,3,3558.805,0.082,0.08,0.849,10382.1,23.1
ERCO,M1,2021,4,5512.229,0.123,0.123,0.601,31524.8,67.7
ERCO,M1,2022,5,7368.752,0.15,0.174,0.459,16412.5,32.5
ERCO,M1,2023,6,9682.898,0.19,0.233,0.192,18884.2,34.5
ERCO,M2,2019,1,2939.375,0.067,0.058,0.895,9356.4,20.2
ERCO,M2,2020,2,3265.422,0.075,0.07,0.863,10462.1,22.2
ERCO,M2,2021,3,5345.257,0.119,0.112,0.6,35560.9,77.1
ERCO,M2,2022,4,7048.022,0.143,0.163,0.476,17460.4,34.2
ERCO,M2,2023,5,9374.889,0.184,0.22,0.189,19291.8,35.0
ERCO,M3,2020,1,2127.177,0.049,0.041,0.944,8004.4,23.5
ERCO,M3,2021,2,4005.118,0.089,0.069,0.785,38707.3,82.6
ERCO,M3,2022,3,5329.553,0.108,0.114,0.705,14425.4,24.4
ERCO,M3,2023,4,7620.854,0.149,0.167,0.476,17249.5,32.3
ERCO,M4,2021,1,3871.71,0.086,0.065,0.8,37339.1,81.2
ERCO,M4,2022,2,5074.954,0.103,0.108,0.745,13656.8,23.6
ERCO,M4,2023,3,7317.386,0.143,0.16,0.541,18074.0,29.3
ERCO,M5,2022,1,4665.649,0.095,0.091,0.783,26635.1,36.0
ERCO,M5,2023,2,6495.675,0.127,0.137,0.646,15734.3,25.9
ERCO,M6,2023,1,4271.063,0.084,0.081,0.86,12882.8,21.5
FPL,M1,2018,1,1481.85,0.103,0.053,0.83,19627.2,inf
FPL,M1,2019,2,908.475,0.062,0.047,0.938,6167.2,135.2
FPL,M1,2020,3,988.951,0.067,0.051,0.926,10114.1,1037.4
FPL,M1,2021,4,919.345,0.063,0.044,0.934,12769.8,3644.6
FPL,M1,2022,5,1626.481,0.104,0.082,0.805,17226.7,52.7
FPL,M1,2023,6,1936.717,0.118,0.113,0.732,15281.5,5285.5
FPL,M2,2019,1,875.378,0.06,0.046,0.942,6066.9,131.1
FPL,M2,2020,2,1008.968,0.068,0.052,0.922,9606.0,1059.1
FPL,M2,2021,3,965.026,0.066,0.047,0.927,13131.7,3540.7
FPL,M2,2022,4,1713.927,0.109,0.092,0.781,17671.6,54.1
FPL,M2,2023,5,2106.249,0.128,0.127,0.677,15122.1,5211.3
FPL,M3,2020,1,1049.195,0.071,0.054,0.915,9725.9,1029.7
FPL,M3,2021,2,1023.8,0.07,0.051,0.917,13574.4,3505.8
FPL,M3,2022,3,1841.295,0.117,0.101,0.744,17833.2,55.0
FPL,M3,2023,4,2258.875,0.137,0.139,0.626,14701.8,5061.7
FPL,M4,2021,1,915.476,0.062,0.045,0.941,12297.0,3679.0
FPL,M4,2022,2,1589.581,0.101,0.084,0.829,16854.8,51.7
FPL,M4,2023,3,1903.906,0.116,0.117,0.764,15187.9,5234.0
FPL,M5,2022,1,1380.729,0.088,0.069,0.874,16589.2,52.2
FPL,M5,2023,2,1597.511,0.097,0.092,0.838,15119.9,5302.4
FPL,M6,2023,1,1786.355,0.109,0.105,0.791,15920.3,5618.9
ISNE,M1,2018,1,851.015,0.06,0.044,0.894,4354.8,32.8
ISNE,M1,2019,2,972.904,0.072,0.053,0.841,4199.9,38.5
ISNE,M1,2020,3,1272.938,0.097,0.071,0.748,4901.8,43.5
ISNE,M1,2021,4,1174.311,0.088,0.063,0.789,4759.1,36.8
ISNE,M1,2022,5,1267.557,0.095,0.067,0.751,4916.8,43.6
ISNE,M1,2023,6,1646.66,0.129,0.086,0.553,6254.4,65.0
ISNE,M2,2019,1,855.883,0.063,0.048,0.864,4218.7,36.1
ISNE,M2,2020,2,1115.749,0.085,0.063,0.785,4578.7,40.4
ISNE,M2,2021,3,1006.338,0.075,0.055,0.835,4075.5,31.2
ISNE,M2,2022,4,1108.804,0.083,0.06,0.786,5116.1,45.4
ISNE,M2,2023,5,1442.172,0.113,0.077,0.627,5754.9,57.5
ISNE,M3,2020,1,1014.517,0.077,0.058,0.812,4265.3,36.0
ISNE,M3,2021,2,901.017,0.067,0.05,0.861,3969.7,35.1
ISNE,M3,2022,3,998.584,0.075,0.055,0.817,5316.4,47.1
ISNE,M3,2023,4,1279.013,0.1,0.07,0.696,5780.1,55.3
ISNE,M4,2021,1,752.206,0.056,0.043,0.907,3791.6,24.7
ISNE,M4,2022,2,827.382,0.062,0.048,0.888,4078.2,33.6
ISNE,M4,2023,3,1004.647,0.079,0.056,0.819,4912.9,46.9
ISNE,M5,2022,1,797.4,0.06,0.046,0.89,3999.1,32.9
ISNE,M5,2023,2,886.525,0.069,0.051,0.853,4296.7,40.1
ISNE,M6,2023,1,897.564,0.07,0.051,0.854,4387.0,37.5
PJM,M1,2018,1,4979.72,0.053,0.041,0.895,38655.2,31.8
PJM,M1,2019,2,4849.619,0.053,0.04,0.904,52170.8,33.6
PJM,M1,2020,3,6079.717,0.069,0.049,0.837,136674.2,63.4
PJM,M1,2021,4,4643.051,0.051,0.038,0.916,22173.9,24.8
PJM,M1,2022,5,4789.726,0.052,0.041,0.907,20386.0,20.8
